MCU_Pin, CubeMX_Signal      , Configured_Mode                                             , Peripheral/AltFn                       , Firmware_Role / Connected Net               , Notes                                                                                                                               , Sources
PA10   , USART1_RX          , AF push-pull                                                , USART1 RX                              , GPS UART RX (MCU<-GPS TX)                   , USART1 reserved for GPS (XA1110) per project convention                                                                             , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PA14   , I2C1_SDA           , AF open-drain                                               , I2C1 SDA                               , I2C1 bus data (GDK101/LSM6DSV16x/MLX90393)  , I2C1 is project convention for these sensors                                                                                        , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PA15   , I2C1_SCL           , AF open-drain                                               , I2C1 SCL                               , I2C1 bus clock (GDK101/LSM6DSV16x/MLX90393) , I2C1 is project convention for these sensors                                                                                        , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PB0    , GPIO_Output        , GPIO output                                                 ,                                        , CO2 reset (CO2_RST)                         , Reset line macro RESET_CO2_RST; initial level set low in MX_GPIO_Init                                                               , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PB1    , S_TIM3_CH4 (CubeMX), AF push-pull (CubeMX) -> GPIO output (user override)        , TIM3_CH4 (CubeMX) -> SEN_RST (firmware), Sensor board reset (SEN_RST)                , Firmware forces PB1 to GPIO output in USER CODE to use as reset line; this overrides CubeMX TIM3_CH4 mapping                        , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c; Core/Src/main.c; Core/Inc/app/board_pins.h
PB4    , GPIO_EXTI4         , GPIO interrupt (rising)                                     , EXTI4                                  , GPS_PPS (1PPS input)                        , GPIO label GPS_PPS in .ioc; EXTI rising used for PPS discipline                                                                     , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Src/stm32g4xx_it.c; Core/Inc/app/board_pins.h
PB5    , I2C3_SDA           , AF open-drain                                               , I2C3 SDA                               , I2C3 bus data (CM1107N/MCP9600)             , I2C3 is project convention for CM1107N + MCP9600                                                                                    , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PB6    , GPIO_Output        , GPIO output                                                 ,                                        , (unused GPIO output)                        , Currently GPIO output in .ioc/firmware; NOTE: spec Rev2.2 lists GPS UART1 TX/RX on PB6/PB7 but this firmware uses USART1 on PC4/PA10, stm32_spaceballoon.ioc; Core/Src/main.c; reference/Space_Balloon_사양서_Rev2.2.pdf
PB7    , GPIO_Output        , GPIO output                                                 ,                                        , (unused GPIO output)                        , Currently GPIO output in .ioc/firmware; NOTE: spec Rev2.2 lists GPS UART1 TX/RX on PB6/PB7 but this firmware uses USART1 on PC4/PA10, stm32_spaceballoon.ioc; Core/Src/main.c; reference/Space_Balloon_사양서_Rev2.2.pdf
PB10   , GPIO_Output        , GPIO output                                                 ,                                        , PMS3003 SET (PMS_SET)                       , Reset line macro RESET_PMS_SET; set HIGH at boot by firmware                                                                        , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PB11   , GPIO_Output        , GPIO output                                                 ,                                        , IMU reset (LSM_RST)                         , Reset line macro RESET_LSM_RST; initial level set low in MX_GPIO_Init                                                               , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PB12   , GPIO_EXTI12        , GPIO interrupt (rising)                                     , EXTI12                                 , GPS interrupt input (GPS_INT)               , GPIO label GPS_INT in .ioc; EXTI rising + capture driver used; health ext_flag bit4 indicates recent GPS_INT activity               , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Src/stm32g4xx_it.c; Core/Inc/app/board_pins.h
PB13   , GPIO_Output        , GPIO output                                                 ,                                        , (unknown GPIO output)                       , Configured as output low in MX_GPIO_Init; no explicit use found in code                                                             , stm32_spaceballoon.ioc; Core/Src/main.c
PB14   , GPIO_Output        , GPIO output                                                 ,                                        , MLX reset control (MLX_nRST / RESET_MLX_RST), GPIO label MLX_nRST in .ioc; driven HIGH at boot (deassert reset; polarity assumed) by firmware                                     , stm32_spaceballoon.ioc; Core/Src/main.c; Core/Inc/app/board_pins.h
PB15   , GPIO_Input (CubeMX), GPIO input (CubeMX) -> 1-Wire bit-bang (driver changes mode),                                        , DS18B20 1-Wire data                         , Driver reconfigures PB15 between open-drain output low and input pull-up for 1-Wire timing                                          , stm32_spaceballoon.ioc; Core/Src/drivers/ds18b20.c
PC4    , USART1_TX          , AF push-pull                                                , USART1 TX                              , GPS UART TX (MCU->GPS RX)                   , USART1 reserved for GPS (XA1110) per project convention                                                                             , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PC6    , S_TIM8_CH1         , AF push-pull                                                , TIM8_CH1                               , (timer channel)                             , No explicit higher-level assignment found (PWM/OC capable)                                                                          , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PC10   , USART3_TX          , AF push-pull                                                , USART3 TX                              , Telemetry UART TX (MCU->external)           , USART3 reserved for telemetry output per project convention                                                                         , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PC11   , USART3_RX          , AF push-pull                                                , USART3 RX                              , Telemetry UART RX (external->MCU)           , USART3 reserved for telemetry (RX currently unused by services)                                                                     , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
PC13   , RTC_OUT1           , AF push-pull                                                , RTC_OUT1                               , (RTC 1Hz output)                            , Configured as RTC_OUT1 (Calibration_1Hz) in CubeMX                                                                                  , stm32_spaceballoon.ioc; Core/Src/stm32g4xx_hal_msp.c
